iter	Passed	Remaining
0	119	119054
1	122	61132
2	127	42324
3	131	32693
4	134	26841
5	138	23024
6	142	20170
7	146	18128
8	149	16509
9	153	15174
10	157	14172
11	161	13278
12	165	12601
13	170	11976
14	173	11412
15	178	10986
16	183	10588
17	186	10165
18	190	9849
19	194	9553
20	198	9274
21	203	9060
22	206	8790
23	211	8585
24	215	8407
25	219	8207
26	223	8069
27	227	7910
28	231	7744
29	235	7603
30	238	7454
31	242	7339
32	246	7213
33	249	7096
34	253	7000
35	257	6888
36	260	6782
37	263	6676
38	268	6622
39	272	6529
40	277	6484
41	280	6408
42	284	6334
43	288	6268
44	292	6202
45	295	6135
46	300	6086
47	303	6018
48	307	5967
49	311	5913
50	314	5853
51	319	5817
52	322	5768
53	326	5728
54	332	5715
55	336	5664
56	340	5635
57	344	5598
58	348	5560
59	353	5544
60	357	5499
61	361	5470
62	365	5431
63	368	5391
64	373	5375
65	377	5340
66	381	5311
67	386	5293
68	389	5257
69	393	5231
70	397	5199
71	402	5187
72	407	5178
73	413	5172
74	416	5138
75	420	5114
76	424	5084
77	428	5070
78	433	5058
79	438	5043
80	441	5014
81	446	4994
82	449	4965
83	454	4954
84	458	4938
85	462	4911
86	466	4897
87	470	4877
88	474	4860
89	478	4837
90	484	4836
91	491	4848
92	496	4842
93	503	4854
94	509	4857
95	515	4857
96	519	4837
97	524	4826
98	529	4820
99	533	4800
100	537	4783
101	542	4775
102	545	4753
103	550	4743
104	555	4731
105	559	4714
106	563	4700
107	567	4686
108	571	4667
109	576	4663
110	580	4649
111	584	4630
112	589	4630
113	594	4617
114	597	4598
115	601	4584
116	605	4567
117	609	4555
118	612	4535
119	616	4522
120	621	4513
121	624	4494
122	628	4480
123	631	4461
124	636	4457
125	641	4448
126	644	4430
127	649	4427
128	655	4423
129	658	4407
130	663	4404
131	670	4408
132	675	4406
133	679	4391
134	685	4391
135	691	4392
136	697	4393
137	704	4400
138	710	4399
139	717	4408
140	723	4410
141	729	4406
142	736	4412
143	741	4408
144	745	4395
145	751	4395
146	758	4403
147	764	4402
148	769	4397
149	775	4391
150	778	4378
151	787	4391
152	790	4378
153	796	4373
154	799	4359
155	803	4346
156	808	4340
157	811	4325
158	817	4321
159	822	4318
160	828	4319
161	834	4317
162	838	4306
163	844	4306
164	849	4299
165	854	4294
166	859	4287
167	863	4278
168	869	4276
169	874	4270
170	879	4263
171	883	4255
172	889	4254
173	894	4245
174	897	4231
175	902	4223
176	907	4218
177	910	4206
178	915	4199
179	919	4186
180	923	4176
181	928	4174
182	932	4161
183	935	4149
184	939	4140
185	943	4130
186	949	4127
187	955	4127
188	960	4123
189	964	4109
190	970	4112
191	976	4108
192	982	4107
193	988	4107
194	993	4100
195	997	4091
196	1003	4090
197	1009	4087
198	1012	4076
199	1017	4068
200	1021	4060
201	1025	4051
202	1029	4041
203	1034	4036
204	1037	4025
205	1042	4018
206	1047	4013
207	1050	4001
208	1061	4017
209	1065	4008
210	1069	3999
211	1073	3990
212	1077	3980
213	1081	3973
214	1085	3963
215	1089	3954
216	1092	3943
217	1096	3932
218	1099	3922
219	1103	3913
220	1109	3909
221	1112	3899
222	1116	3890
223	1120	3882
224	1123	3871
225	1128	3864
226	1132	3855
227	1136	3847
228	1140	3840
229	1144	3831
230	1148	3824
231	1152	3814
232	1155	3805
233	1160	3797
234	1163	3788
235	1168	3781
236	1172	3775
237	1176	3766
238	1180	3759
239	1184	3749
240	1188	3743
241	1193	3737
242	1196	3727
243	1200	3719
244	1203	3708
245	1209	3705
246	1213	3698
247	1216	3689
248	1221	3683
249	1224	3672
250	1228	3665
251	1231	3655
252	1236	3649
253	1240	3643
254	1243	3633
255	1248	3627
256	1252	3621
257	1256	3614
258	1261	3608
259	1265	3601
260	1269	3593
261	1272	3585
262	1276	3576
263	1280	3569
